code,description
D37-D48,Tumores [neoplasias] de comportamiento incierto o desconocido
G30-G32,Otras enfermedades degenerativas del sistema nervioso
G35-G37,Enfermedades desmielinizantes del sistema nervioso central
G40-G47,Trastornos episódicos y paroxísticos
G50-G59,"Trastornos de los nervios, de las raíces y de los plexos nerviosos"
G60-G64,Polineuropatías y otros trastornos del sistema nervioso periférico
G70-G73,Enfermedades musculares y de la unión neuromuscular
G80-G83,Parálisis cerebral y otros síndromes paralíticos
G90-G99,Otros trastornos del sistema nervioso
A00-A09,Enfermedades infecciosas intestinales
A15-A19,Tuberculosis
H55-H59,Otros trastornos del ojo y sus anexos
F50-F59,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos
F60-F69,Trastornos de la personalidad y del comportamiento en adultos
F70-F79,Retraso mental
F80-F89,Trastornos del desarrollo psicológico
F90-F98,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia
F99,"Trastorno mental, no especificado"
S00-S09,Traumatismos de la cabeza
S10-S19,Traumatismos del cuello
S20-S29,Traumatismos del tórax
S30-S39,"Traumatismos del abdomen, de la región lumbosacra, de la columna lumbar y de la pelvis"
R00-R09,Síntomas y signos que involucran los sistemas circulatorio y respiratorio
R10-R19,Síntomas y signos que involucran el sistema digestivo y el abdomen
R20-R23,Síntomas y signos que involucran la piel y el tejido subcutáneo
R25-R29,Síntomas y signos que involucran los sistemas nervioso y osteomuscular
R30-R39,Síntomas y signos que involucran el sistema urinario
R40-R46,"Síntomas y signos que involucran el conocimiento, la percepción, el estado emocional y la conducta"
R47-R49,Síntomas y signos que involucran el habla y la voz
Q00-Q07,Malformaciones congénitas del sistema nervioso
Q10-Q18,"Malformaciones congénitas del ojo, del oído, de la cara y del cuello"
Q20-Q28,Malformaciones congénitas del sistema circulatorio
Q30-Q34,Malformaciones congénitas del sistema respiratorio
E40-E46,Desnutrición
E50-E64,Otras deficiencias nutricionales
E65-E68,Obesidad y otros tipos de hiperalimentación
E70-E90,Trastornos metabólicos
P00-P04,"Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto"
P05-P08,Trastornos relacionados con la duración de la gestación y el crecimiento fetal
P10-P15,Traumatismo del nacimiento
P20-P29,Trastornos respiratorios y cardiovasculares específicos del período perinatal
P35-P39,Infecciones específicas del período perinatal
P50-P61,Trastornos hemorrágicos y hematológicos del feto y del recién nacido
P70-P74,Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido
D80-D89,Ciertos trastornos que afectan el mecanismo de la inmunidad
O00-O08,Embarazo terminado en aborto
O10-O16,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio"
O20-O29,Otros trastornos maternos relacionados principalmente con el embarazo
O30-O48,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto
N00-N08,Enfermedades glomerulares
N10-N16,Enfermedad renal tubulointersticial
N17-N19,Insuficiencia renal
N20-N23,Litiasis urinaria
N25-N29,Otros trastornos del riñón y del uréter
A20-A28,Ciertas zoonosis bacterianas
A30-A49,Otras enfermedades bacterianas
A50-A64,predominantemente sexual
A65-A69,Otras enfermedades debidas a espiroquetas
A70-A74,Otras enfermedades causadas por clamidias
A75-A79,Rickettsiosis
A80-A89,Infecciones virales del sistema nervioso central
A90-A99,Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas
B00-B09,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas
M00-M25,Artropatías
M30-M36,Trastornos sistémicos del tejido conjuntivo
M40-M54,Dorsopatías
M60-M79,Trastornos de los tejidos blandos
M80-M94,Osteopatías y condropatías
L00-L08,Infecciones de la piel y del tejido subcutáneo
L10-L14,Trastornos flictenulares
L20-L30,Dermatitis y eczema
L40-L45,Trastornos papuloescamosos
L50-L54,Urticaria y eritema
K00-K14,"Enfermedades de la cavidad bucal, de las glándulas salivales y de los maxilares"
K20-K31,"Enfermedades del esófago, del estómago y del duodeno"
K35-K38,Enfermedades del apéndice
K40-K46,Hernia
K50-K52,Enteritis y colitis no infecciosas
K55-K63,Otras enfermedades de los intestinos
J00-J06,Infecciones agudas de las vías respiratorias superiores
J09-J18,Influenza [gripe] y neumonía
J20-J22,Otras infecciones agudas de las vías respiratorias inferiores
J30-J39,Otras enfermedades de las vías respiratorias superiores
I00-I02,Fiebre reumática aguda
I05-I09,Enfermedades cardíacas reumáticas crónicas
I10-I15,Enfermedades hipertensivas
I20-I25,Enfermedades isquémicas del corazón
S40-S49,Traumatismos del hombro y del brazo
S50-S59,Traumatismos del antebrazo y del codo
S60-S69,Traumatismos de la muñeca y de la mano
S70-S79,Traumatismos de la cadera y del muslo
S80-S89,Traumatismos de la rodilla y de la pierna
S90-S99,Traumatismos del tobillo y del pie
T00-T07,Traumatismos que afectan múltiples regiones del cuerpo
Z00-Z13,Personas en contacto con los servicios de salud para investigación y exámenes
Z20-Z29,"Personas con riesgos potenciales para su salud, relacionados con enfermedades transmisibles"
Z30-Z39,Personas en contacto con los servicios de salud en circunstancias relacionadas con la reproducción
V01-X59,Accidentes
X60-X84,Lesiones autoinfligidas intencionalmente
X85-Y09,Agresiones
Y10-Y34,Eventos de intención no determinada
Y35-Y36,Intervención legal y operaciones de guerra
Y40-Y84,Complicaciones de la atención médica y quirúrgica
H90,Hipoacusia conductiva y neurosensorial
H91,Otras hipoacusias
H92,Otalgia y secreción del oído
H80,Otosclerosis
H81,Trastornos de la función vestibular
H82,Síndromes vertiginosos en enfermedades clasificadas en otra parte
H83,Otros trastornos del oído interno
H65,Otitis media no supurativa
H66,Otitis media supurativa y la no especificada
H67,Otitis media en enfermedades clasificadas en otra parte
H60,Otitis externa
H61,Otros trastornos del oído externo
H62,Trastornos del oído externo en enfermedades clasificadas en otra parte
H15,Trastornos de la esclerótica
H16,Queratitis
H17,Opacidades y cicatrices corneales
H18,Otros trastornos de la córnea
H19,Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte
H20,Iridociclitis
H21,Otros trastornos del iris y del cuerpo ciliar
H22,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte
R50-R69,Síntomas y signos generales
R70-R79,sin diagnóstico
R80-R82,"Hallazgos anormales en el examen de orina, sin diagnóstico"
R83-R89,"Hallazgos anormales en el examen de otros líquidos, sustancias y tejidos corporales, sin diagnóstico"
R90-R94,"Hallazgos anormales en diagnóstico por imágenes y en estudios funcionales, sin diagnóstico"
R95-R99,Causas de mortalidad mal definidas y desconocidas
H10,Conjuntivitis
H11,Otros trastornos de la conjuntiva
H13,Trastornos de la conjuntiva en enfermedades clasificadas en otra parte
Q35-Q37,Fisura del paladar y labio leporino
Q38-Q45,Otras malformaciones congénitas del sistema digestivo
Q50-Q56,Malformaciones congénitas de los órganos genitales
Q60-Q64,Malformaciones congénitas del sistema urinario
Q65-Q79,Malformaciones y deformidades congénitas del sistema osteomuscular
Q80-Q89,Otras malformaciones congénitas
Q90-Q99,"Anomalías cromosómicas, no clasificadas en otra parte"
H00,Orzuelo y calacio
H01,Otras inflamaciones del párpado
H02,Otros trastornos de los párpados
H03,Trastornos del párpado en enfermedades clasificadas en otra parte
H04,Trastornos del aparato lagrimal
H05,Trastornos de la órbita
H06,Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte
P75-P78,Trastornos del sistema digestivo del feto y del recién nacido
P80-P83,Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido
P90-P96,Otros trastornos originados en el período perinatal
O60-O75,Complicaciones del trabajo de parto y del parto
O80-O84,Parto
O85-O92,Complicaciones principalmente relacionadas con el puerperio
O94-O99,Otras afecciones obstétricas no clasificadas en otra parte
F40,Trastornos fóbicos de ansiedad
F41,Otros trastornos de ansiedad
F42,Trastorno obsesivo-compulsivo
F43,Reacción al estrés grave y trastornos de adaptación
F44,Trastornos disociativos [de conversión]
F45,Trastornos somatomorfos
F48,Otros trastornos neuróticos
N30-N39,Otras enfermedades del sistema urinario
N40-N51,Enfermedades de los órganos genitales masculinos
N60-N64,Trastornos de la mama
N70-N77,Enfermedades inflamatorias de los órganos pélvicos femeninos
N80-N98,Trastornos no inflamatorios de los órganos genitales femeninos
N99,"Trastornos del sistema genitourinario consecutivos a procedimientos, no clasificados en otra parte"
F30,Episodio maníaco
F31,Trastorno afectivo bipolar
F32,Episodio depresivo
F33,Trastorno depresivo recurrente
F34,Trastornos del humor [afectivos] persistentes
F38,Otros trastornos del humor [afectivos]
F39,"Trastorno del humor [afectivo], no especificado"
F20,Esquizofrenia
F21,Trastorno esquizotípico
F22,Trastornos delirantes persistentes
F23,Trastornos psicóticos agudos y transitorios
F24,Trastorno delirante inducido
B15-B19,Hepatitis viral
B20-B24,Enfermedad por virus de la inmunodeficiencia ­humana [VIH]
B25-B34,Otras enfermedades virales
B35-B49,Micosis
B50-B64,Enfermedades debidas a protozoarios
B65-B83,Helmintiasis
B85-B89,"Pediculosis, acariasis y otras infestaciones"
B90-B94,Secuelas de enfermedades infecciosas y parasitarias
B95-B97,"Bacterias, virus y otros agentes infecciosos"
B99,Otras enfermedades infecciosas y las no especificadas
F10,Trastornos mentales y del comportamiento ­debidos al uso de alcohol
F11,Trastornos mentales y del comportamiento ­debidos al uso de opiáceos
F12,Trastornos mentales y del comportamiento debidos al uso de cannabinoides
F13,Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos
F14,Trastornos mentales y del comportamiento debidos al uso de cocaína
F15,"Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeína"
M95-M99,Otros trastornos del sistema osteomuscular y del tejido conjuntivo
F00,Demencia en la enfermedad de Alzheimer (G30.–)
F01,Demencia vascular
F02,Demencia en otras enfermedades clasificadas en otra parte
L55-L59,Trastornos de la piel y del tejido subcutáneo relacionados con radiación
L60-L75,Trastornos de las faneras
L80-L99,Otros trastornos de la piel y del tejido subcutáneo
H53,Alteraciones de la visión
H54,Ceguera y disminución de la agudeza visual
K65-K67,Enfermedades del peritoneo
K70-K77,Enfermedades del hígado
K80-K87,"Trastornos de la vesícula biliar, de las vías biliares y del páncreas"
K90-K93,Otras enfermedades del sistema digestivo
J40-J47,Enfermedades crónicas de las vías respiratorias inferiores
J60-J70,Enfermedades del pulmón debidas a agentes externos
J80-J84,Otras enfermedades respiratorias que afectan principalmente al intersticio
J85-J86,Afecciones supurativas y necróticas de las vías respiratorias inferiores
J90-J94,Otras
J95-J99,Otras enfermedades del sistema respiratorio
H49,Estrabismo paralítico
H50,Otros estrabismos
H51,Otros trastornos de los movimientos binoculares
H52,Trastornos de la acomodación y de la refracción
I26-I28,Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar
I30-I52,Otras formas de enfermedad del corazón
I60-I69,Enfermedades cerebrovasculares
I70-I79,"Enfermedades de las arterias, de las arteriolas y de los vasos capilares"
I80-I89,"Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte"
I95-I99,Otros trastornos y los no especificados del sistema circulatorio
H46,Neuritis óptica
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas
H48,Trastornos del nervio óptico [II par] y de las vías ópticas en enfermedades clasificadas en otra parte
H43,Trastornos del cuerpo vítreo
H44,Trastornos del globo ocular
H45,Trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parte
H40,Glaucoma
H42,Glaucoma en enfermedades clasificadas en otra parte
H30,Inflamación coriorretiniana
H31,Otros trastornos de la coroides
H32,Trastornos coriorretinianos en enfermedades clasificadas en otra parte
T08-T14,"Traumatismos de parte no especificada del tronco, miembro o región del cuerpo"
T15-T19,Efectos de cuerpos extraños que penetran por orificios naturales
T20-T32,Quemaduras y corrosiones
T33-T35,Congelamiento
T36-T50,"Envenenamiento por drogas, medicamentos y sustancias biológicas"
T51-T65,Efectos tóxicos de sustancias de procedencia principalmente no medicinal
T66-T78,Otros efectos y los no especificados de causas externas
T79,"Algunas complicaciones precoces de traumatismos, no clasificadas en otra parte"
T80-T88,"Complicaciones de la atención médica y quirúrgica, no clasificadas en otra parte"
H25,Catarata senil
H26,Otras cataratas
H27,Otros trastornos del cristalino
H28,Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte
Z40-Z54,Personas en contacto con los servicios de salud para procedimientos específicos y cuidados de salud
Z55-Z65,"Personas con riesgos potenciales para su salud, relacionados con circunstancias socioeconómicas y psicosociales"
Z70-Z76,Personas en contacto con los servicios de salud por otras circunstancias
Z80-Z99,"Personas con riesgos potenciales para su salud, relacionados con su historia familiar y personal, y algunas condiciones que influyen sobre su estado de salud"
G20,Enfermedad de Parkinson
G21,Parkinsonismo secundario
G22,Parkinsonismo en enfermedades clasificadas en otra parte
G23,Otras enfermedades degenerativas de los núcleos de la base
G24,Distonía
G25,Otros trastornos extrapiramidales y del movimiento
G10,Enfermedad de Huntington
G11,Ataxia hereditaria
G12,Atrofia muscular espinal y síndromes afines
G13,Atrofias sistémicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte
G00,"Meningitis bacteriana, no clasificada en otra parte"
G01,Meningitis en enfermedades bacterianas clasificadas en otra parte
G02,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
G03,Meningitis debida a otras causas y a las no especificadas
G04,"Encefalitis, mielitis y encefalomielitis"
G05,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte"
S30,"Traumatismo superficial del abdomen, de la región lumbosacra y de la pelvis"
S31,"Herida del abdomen, de la región lumbosacra y de la pelvis"
S20,Traumatismo superficial del tórax
S21,Herida del tórax
S22,"Fractura de las costillas, del esternón y de la columna torácica [dorsal]"
S23,"Luxación, esguince y torcedura de articulaciones y ligamentos del tórax"
S24,Traumatismo de nervios y de la médula espinal a nivel del tórax
S10,Traumatismo superficial del cuello
S11,Herida del cuello
S12,Fractura del cuello
S00,Traumatismo superficial de la cabeza
S01,Herida de la cabeza
S02,Fractura de huesos del cráneo y de la cara
S03,"Luxación, esguince y torcedura de articulaciones y de ligamentos de la cabeza"
S04,Traumatismo de nervios craneales
F90,Trastornos hipercinéticos
F91,Trastornos de la conducta
F92,Trastornos mixtos de la conducta y de las emociones
F93,Trastornos emocionales de comienzo específico en la niñez
F94,Trastornos del comportamiento social de comienzo específico en la niñez y en la adolescencia
F95,Trastornos por tics
F98,Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia
F80,Trastornos específicos del desarrollo del habla y del lenguaje
F81,Trastornos específicos del desarrollo de las habilidades escolares
F82,Trastorno específico del desarrollo de la función motriz
F83,Trastornos específicos mixtos del desarrollo
F84,Trastornos generalizados del desarrollo
Y85-Y89,Secuelas de causas externas de morbilidad y de mortalidad
Y90-Y98,Factores suplementarios relacionados con causas de morbilidad y de mortalidad clasificadas en otra parte
H93,"Otros trastornos del oído, no clasificados en otra parte"
H94,Otros trastornos del oído en enfermedades clasificadas en otra parte
H95,"Trastornos del oído y de la apófisis mastoides consecutivos a procedimientos, no clasificados en otra parte"
F70,Retraso mental leve
F71,Retraso mental moderado
F72,Retraso mental grave
F73,Retraso mental profundo
F78,Otros tipos de retraso mental
F60,Trastornos específicos de la personalidad
F61,Trastornos mixtos y otros trastornos de la personalidad
F62,"Cambios perdurables de la personalidad, no atribuibles a lesión o a enfermedad cerebral"
F50,Trastornos de la ingestión de alimentos
F51,Trastornos no orgánicos del sueño
F52,Disfunción sexual no ocasionada por trastorno ni enfermedad orgánicos
F53,"Trastornos mentales y del comportamiento asociados con el puerperio, no clasificados en otra parte"
F54,Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte
F55,Abuso de sustancias que no producen dependencia
H55,Nistagmo y otros movimientos oculares irregulares
H57,Otros trastornos del ojo y sus anexos
H58,Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte
H59,"Trastornos del ojo y sus anexos consecutivos a procedimientos, no clasificados en otra parte"
A00,Cólera
A01,Fiebres tifoidea y paratifoidea
A02,Otras infecciones debidas a Salmonella
A03,Shigelosis
A04,Otras infecciones intestinales bacterianas
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte"
A06,Amebiasis
G90,Trastornos del sistema nervioso autónomo
G91,Hidrocéfalo
G92,Encefalopatía tóxica
G93,Otros trastornos del encéfalo
G94,Otros trastornos del encéfalo en enfermedades clasificadas en otra parte
G95,Otras enfermedades de la médula espinal
G96,Otros trastornos del sistema nervioso central
G80,Parálisis cerebral
G81,Hemiplejía
G82,Paraplejía y cuadriplejía
G83,Otros síndromes paralíticos
G70,Miastenia gravis y otros trastornos neuromusculares
G71,Trastornos musculares primarios
G72,Otras miopatías
G60,Neuropatía hereditaria e idiopática
G61,Polineuropatía inflamatoria
G62,Otras polineuropatías
G63,Polineuropatías en enfermedades clasificadas en otra parte
G64,Otros trastornos del sistema nervioso periférico
G50,Trastornos del nervio trigémino
G51,Trastornos del nervio facial
G52,Trastornos de otros nervios craneales
G53,Trastornos de los nervios craneales en enfermedades clasificadas en otra parte
G40,Epilepsia
G41,Estado de mal epiléptico
G43,Migraña
H68,Inflamación y obstrucción de la trompa de Eustaquio
H69,Otros trastornos de la trompa de Eustaquio
H70,Mastoiditis y afecciones relacionadas
H71,Colesteatoma del oído medio
H72,Perforación de la membrana timpánica
H73,Otros trastornos de la membrana timpánica
H74,Otros trastornos del oído medio y de la apófisis mastoides
H75,Otros trastornos del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parte
G35,Esclerosis múltiple
G36,Otras desmielinizaciones diseminadas agudas
G37,Otras enfermedades desmielinizantes del sistema nervioso central
G30,Enfermedad de Alzheimer
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas en otra parte"
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas en otra parte
D37,Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos
D38,Tumor de comportamiento incierto o desconocido del oído medio y de los órganos respiratorios e intratorácicos
D39,Tumor de comportamiento incierto o desconocido de los órganos genitales femeninos
D40,Tumor de comportamiento incierto o desconocido de los órganos genitales masculinos
D41,Tumor de comportamiento incierto o desconocido de los órganos urinarios
D42,Tumor de comportamiento incierto o desconocido de las meninges
D43,Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central
D10,Tumor benigno de la boca y de la faringe
D11,Tumor benigno de las glándulas salivales mayores
D12,"Tumor benigno del colon, del recto, del conducto anal y del ano"
D00,"Carcinoma in situ de la cavidad bucal, del esófago y del estómago"
D01,Carcinoma in situ de otros órganos digestivos y de los no especificados
D02,Carcinoma in situ del sistema respiratorio y del oído medio
D03,Melanoma in situ
D04,Carcinoma in situ de la piel
D05,Carcinoma in situ de la mama
D06,Carcinoma in situ del cuello del útero
C00-C75,y afines
C76-C80,"Tumores [neoplasias] malignos de sitios mal definidos, secundarios y de sitios no especificados"
C81-C96,"Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines"
C97,Tumores malignos (primarios) de sitios múltiples independientes
D70,Agranulocitosis
D71,Trastornos funcionales de los polimorfonucleares neutrófilos
D72,Otros trastornos de los leucocitos
D73,Enfermedades del bazo
D74,Metahemoglobinemia
D65,Coagulación intravascular diseminada [síndrome de desfibrinación]
D66,Deficiencia hereditaria del factor VIII
D67,Deficiencia hereditaria del factor IX
D68,Otros defectos de la coagulación
D69,Púrpura y otras afecciones hemorrágicas
D60,"Aplasia adquirida, exclusiva de la serie roja [eritroblastopenia]"
D61,Otras anemias aplásticas
D62,Anemia posthemorrágica aguda
D63,Anemia en enfermedades crónicas clasificadas en otra parte
D64,Otras anemias
D55,Anemia debida a trastornos enzimáticos
D56,Talasemia
D57,Trastornos falciformes
D58,Otras anemias hemolíticas hereditarias
D59,Anemia hemolítica adquirida
D50,Anemias por deficiencia de hierro
D51,Anemia por deficiencia de vitamina B12
D52,Anemia por deficiencia de folatos
D53,Otras anemias nutricionales
E20,Hipoparatiroidismo
E21,Hiperparatiroidismo y otros trastornos de la glándula paratiroides
E22,Hiperfunción de la glándula hipófisis
E23,Hipofunción y otros trastornos de la glándula hipófisis
E24,Síndrome de Cushing
E15,Coma hipoglicémico no diabético
E16,Otros trastornos de la secreción interna del páncreas
E10,Diabetes mellitus insulinodependiente
E11,Diabetes mellitus no insulinodependiente
E12,Diabetes mellitus asociada con desnutrición
E13,Otras diabetes mellitus especificadas
E00,Síndrome congénito de deficiencia de yodo
E01,Trastornos tiroideos vinculados a deficiencia de yodo y afecciones relacionadas
E02,Hipotiroidismo subclínico por deficiencia de yodo
E03,Otros hipotiroidismos
E04,Otros bocios no tóxicos
E05,Tirotoxicosis [hipertiroidismo]
E06,Tiroiditis
F25,Trastornos esquizoafectivos
F28,Otros trastornos psicóticos de origen no orgánico
F29,"Psicosis de origen no orgánico, no especificada"
F16,Trastornos mentales y del comportamiento debidos al uso de alucinógenos
F17,Trastornos mentales y del comportamiento debidos al uso de tabaco
F18,Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles
F19,Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas
F03,"Demencia, no especificada"
F04,"Síndrome amnésico orgánico, no inducido por ­alcohol o por otras sustancias psicoactivas"
F05,"Delirio, no inducido por alcohol o por otras ­sustancias psicoactivas"
F06,"Otros trastornos mentales debidos a lesión y disfunción cerebral, y a enfermedad física"
F07,"Trastornos de la personalidad y del comportamiento debidos a enfermedad, lesión o disfunción cerebral"
F09,"Trastorno mental orgánico o sintomático, no especificado"
H33,Desprendimiento y desgarro de la retina
H34,Oclusión vascular de la retina
H35,Otros trastornos de la retina
H36,Trastornos de la retina en enfermedades clasificadas en otra parte
T90-T98,"Secuelas de traumatismos, de envenenamientos y de otras consecuencias de causas externas"
G26,Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte
Z30,Atención para la anticoncepción
Z31,Atención para la procreación
Z32,Examen y prueba del embarazo
Z33,"Estado de embarazo, incidental"
Z34,Supervisión de embarazo normal
Z35,Supervisión de embarazo de alto riesgo
Z20,Contacto con y exposición a enfermedades transmisibles
Z21,Estado de infección asintomática por el virus de la inmunodeficiencia humana [VIH]
Z22,Portador de agente de enfermedad infecciosa
Z00,Examen general e investigación de personas sin quejas o sin diagnóstico informado
Z01,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado
Z02,Exámenes y contactos para fines administrativos
Z03,Observación y evaluación médicas por sospecha de enfermedades y afecciones
Z04,Examen y observación por otras razones
Z08,Examen de seguimiento consecutivo al tratamiento por tumor maligno
T00,Traumatismos superficiales que afectan múltiples regiones del cuerpo
T01,Heridas que afectan múltiples regiones del cuerpo
S90,Traumatismo superficial del tobillo y del pie
S91,Herida del tobillo y del pie
S92,"Fractura del pie, excepto del tobillo"
S93,"Luxación, esguince y torcedura de articulaciones y ligamentos del tobillo y del pie"
S94,Traumatismo de nervios a nivel del pie y del tobillo
S80,Traumatismo superficial de la pierna
S81,Herida de la pierna
S82,"Fractura de la pierna, inclusive el tobillo"
S83,"Luxación, esguince y torcedura de articulaciones y ligamentos de la rodilla"
S70,Traumatismo superficial de la cadera y del muslo
S71,Herida de la cadera y del muslo
S72,Fractura del fémur
S73,"Luxación, esguince y torcedura de la articulación y de los ligamentos de la cadera"
S60,Traumatismo superficial de la muñeca y de la mano
S61,Herida de la muñeca y de la mano
S62,Fractura a nivel de la muñeca y de la mano
S50,Traumatismo superficial del antebrazo y del codo
S51,Herida del antebrazo y del codo
S52,Fractura del antebrazo
S53,"Luxación, esguince y torcedura de articulaciones y ligamentos del codo"
S54,Traumatismo de nervios a nivel del antebrazo
S40,Traumatismo superficial del hombro y del brazo
S41,Herida del hombro y del brazo
S42,Fractura del hombro y del brazo
S43,"Luxación, esguince y torcedura de articulaciones y ligamentos de la cintura escapular"
S44,Traumatismo de nervios a nivel del hombro y del brazo
I20,Angina de pecho
I21,Infarto agudo del miocardio
I22,Infarto subsecuente del miocardio
I23,Ciertas complicaciones presentes posteriores al infarto agudo del miocardio
I10,Hipertensión esencial (primaria)
I11,Enfermedad cardíaca hipertensiva
I12,Enfermedad renal hipertensiva
I05,Enfermedades reumáticas de la válvula mitral
I06,Enfermedades reumáticas de la válvula aórtica
I07,Enfermedades reumáticas de la válvula tricúspide
I08,Enfermedades valvulares múltiples
I09,Otras enfermedades reumáticas del corazón
I00,Fiebre reumática sin mención de complicación cardíaca
I01,Fiebre reumática con complicación cardíaca
I02,Corea reumática
J30,Rinitis alérgica y vasomotora
J31,"Rinitis, rinofaringitis y faringitis crónicas"
J32,Sinusitis crónica
J33,Pólipo nasal
J20,Bronquitis aguda
J21,Bronquiolitis aguda
J22,Infección aguda no especificada de las vías respiratorias inferiores
J09,Influenza debida a virus de la influenza aviar identificado
J10,Influenza debida a otro virus de la influenza identificado
